sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
3893,1246,1054,16392,-324,-163,18
3894,854,572,16400,-245,-163,43
3895,155,1420,16180,-1,-119,58
3896,582,1750,16078,-124,-125,24
3897,1289,976,16403,-357,-162,26
3898,724,643,16454,-196,-126,49
3899,176,1576,16059,17,-108,42
3900,691,1694,16130,-151,-129,-5
3901,1155,834,16411,-344,-158,-4
3902,724,654,16384,-183,-128,44
3903,234,1580,16170,30,-117,41
3904,805,1800,16116,-158,-137,0
3905,1146,772,16459,-334,-175,19
3906,544,775,16367,-163,-130,56
3907,318,1595,16185,-3,-124,44
3908,949,1732,16157,-210,-145,6
3909,1165,768,16433,-337,-168,-5
3910,440,799,16348,-137,-123,44
3911,245,1740,16077,-2,-110,35
3912,1059,1502,16260,-224,-143,11
3913,1193,738,16405,-300,-154,21
3914,427,908,16330,-82,-132,51
3915,230,1782,16035,4,-117,22
3916,1064,1377,16277,-251,-170,-17
3917,1159,635,16562,-291,-167,13
3918,356,1102,16230,-44,-119,54
3919,311,1842,16093,-19,-144,48
3920,1005,1282,16287,-282,-189,-2
3921,1081,485,16478,-297,-180,24
3922,333,1195,16300,-21,-120,64
3923,431,1930,15990,-42,-99,45
3924,1081,1236,16310,-299,-180,-2
3925,907,510,16450,-269,-160,35
3926,338,1165,16284,-6,-94,59
3927,514,1932,16155,-62,-109,18
3928,1156,1194,16294,-337,-163,0
3929,839,538,16448,-284,-163,23
3930,212,1210,16223,-11,-115,41
3931,648,1894,16068,-62,-105,28
3932,1222,1083,16322,-322,-176,8
3933,815,635,16435,-266,-143,29
3934,138,1368,16224,-29,-108,55
3935,629,1775,16091,-108,-153,21
3936,1333,1081,16384,-321,-168,13
3937,770,639,16428,-204,-145,47
3938,187,1480,16156,27,-125,37
3939,643,1652,16114,-144,-124,22
3940,1236,932,16385,-320,-146,6
3941,729,705,16398,-184,-135,56
3942,232,1536,16079,-8,-136,45
3943,761,1666,16114,-191,-185,18
3944,1134,778,16373,-320,-180,15
3945,628,858,16302,-132,-142,42
3946,259,1580,16253,-38,-119,36
3947,885,1626,16131,-216,-139,0
3948,1143,663,16467,-307,-157,6
3949,448,934,16301,-98,-114,70
3950,300,1750,16097,-9,-112,40
3951,1012,1497,16241,-228,-183,-12
3952,1189,595,16441,-315,-181,25
3953,421,928,16313,-80,-143,72
3954,257,1876,16053,3,-116,51
3955,1123,1430,16241,-279,-132,12
3956,1121,539,16511,-340,-175,19
3957,334,967,16306,-58,-105,56
3958,258,1943,16066,-3,-82,39
3959,1051,1365,16267,-286,-154,17
