sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
380,579,1172,16304,-181,-121,49
381,582,1190,16307,-167,-119,42
382,620,1170,16326,-154,-140,36
383,621,1156,16290,-180,-154,52
384,598,1169,16292,-181,-134,53
385,588,1206,16324,-175,-111,44
386,601,1196,16329,-160,-129,65
387,613,1160,16299,-166,-124,37
388,599,1207,16311,-173,-123,35
389,566,1192,16328,-160,-134,29
390,602,1176,16325,-154,-150,19
391,627,1208,16273,-169,-116,21
392,599,1164,16281,-178,-131,39
393,608,1153,16268,-148,-124,42
394,613,1172,16268,-161,-113,28
395,594,1172,16301,-140,-110,19
396,565,1179,16304,-175,-133,21
397,584,1177,16303,-183,-127,31
398,609,1178,16312,-168,-97,32
399,578,1179,16307,-144,-116,24
400,602,1175,16284,-159,-127,29
401,609,1192,16304,-177,-137,32
402,574,1156,16297,-152,-141,46
403,596,1173,16270,-170,-95,37
404,589,1163,16302,-187,-105,10
405,603,1164,16290,-179,-125,19
406,607,1176,16294,-162,-133,42
407,590,1145,16329,-167,-127,31
408,571,1162,16346,-134,-138,31
409,590,1160,16325,-159,-118,20
410,591,1133,16306,-160,-106,36
411,622,1168,16314,-158,-118,42
412,608,1182,16365,-151,-121,37
413,576,1177,16312,-165,-117,27
414,601,1179,16310,-171,-114,29
415,598,1177,16340,-148,-129,36
416,592,1187,16293,-158,-122,48
417,607,1158,16283,-168,-116,24
418,605,1175,16318,-154,-123,17
419,592,1183,16271,-166,-117,30
420,631,1178,16296,-170,-143,19
421,642,1160,16331,-152,-132,46
422,617,1197,16286,-165,-110,29
423,601,1185,16289,-177,-139,29
424,587,1172,16295,-147,-114,39
425,576,1184,16278,-159,-118,11
426,569,1181,16302,-167,-144,34
427,591,1199,16292,-171,-111,40
428,633,1189,16272,-167,-119,35
429,611,1206,16314,-164,-139,29
430,612,1188,16284,-152,-147,27
431,622,1161,16337,-162,-138,23
432,635,1154,16283,-163,-124,21
433,571,1160,16290,-158,-150,41
434,620,1199,16307,-167,-139,32
435,602,1176,16287,-147,-106,30
436,564,1179,16292,-166,-139,27
437,607,1185,16260,-177,-158,35
438,607,1168,16311,-164,-122,24
439,585,1170,16276,-188,-122,27
440,591,1187,16270,-180,-124,19
441,628,1203,16309,-148,-119,26
442,628,1188,16324,-155,-127,21
443,621,1165,16277,-145,-106,22
444,613,1167,16288,-173,-130,28
445,581,1156,16303,-167,-117,48
446,567,1164,16302,-155,-128,44
447,584,1169,16292,-155,-122,30
448,607,1157,16310,-180,-126,3
449,615,1155,16282,-166,-98,33
450,604,1172,16288,-152,-128,42
451,582,1167,16313,-143,-141,30
452,589,1203,16307,-170,-142,32
453,624,1161,16299,-167,-131,38
454,627,1149,16288,-168,-115,24
455,593,1164,16311,-157,-120,27
456,594,1196,16319,-145,-128,33
457,587,1186,16305,-164,-116,34
458,605,1185,16296,-160,-96,26
459,622,1215,16297,-174,-126,36
460,598,1165,16297,-177,-127,31
461,631,1148,16302,-159,-129,41
462,568,1157,16335,-160,-134,30
463,617,1175,16288,-144,-114,26
464,606,1161,16301,-167,-119,43
465,587,1198,16304,-167,-134,33
466,609,1178,16320,-148,-136,26
467,577,1159,16297,-158,-110,36
